ip.src,ip.dst,tcp.srcport,eth.src,eth.dst,frame.len,udp.srcport,udp.dstport,Label
142.252.157.175,10.10.10.10,80.0,98:5d:82:11:54:49,00:16:3e:0d:ec:f2,58,,,Attack
50.118.247.125,10.10.10.10,80.0,98:5d:82:11:54:49,00:16:3e:0d:ec:f2,58,,,Attack
172.121.4.15,10.10.10.10,80.0,98:5d:82:11:54:49,00:16:3e:0d:ec:f2,58,,,Attack
107.186.173.189,10.10.10.10,80.0,98:5d:82:11:54:49,00:16:3e:0d:ec:f2,58,,,Attack
136.0.124.193,10.10.10.10,80.0,98:5d:82:11:54:49,00:16:3e:0d:ec:f2,58,,,Attack
104.252.113.74,10.10.10.10,80.0,98:5d:82:11:54:49,00:16:3e:0d:ec:f2,58,,,Attack
45.39.186.74,10.10.10.10,443.0,98:5d:82:11:54:49,00:16:3e:0d:ec:f2,58,,,Attack
45.39.14.199,10.10.10.10,80.0,98:5d:82:11:54:49,00:16:3e:0d:ec:f2,58,,,Attack
104.253.252.2,10.10.10.10,80.0,98:5d:82:11:54:49,00:16:3e:0d:ec:f2,58,,,Attack
216.223.207.13,10.10.10.10,,98:5d:82:11:54:49,00:16:3e:0d:ec:f2,236,61581.0,1194.0,Attack
216.223.207.13,10.10.10.10,,98:5d:82:11:54:49,00:16:3e:0d:ec:f2,232,61581.0,1194.0,Attack
107.164.46.127,10.10.10.10,80.0,98:5d:82:11:54:49,00:16:3e:0d:ec:f2,58,,,Attack
142.252.227.213,10.10.10.10,80.0,98:5d:82:11:54:49,00:16:3e:0d:ec:f2,58,,,Attack
104.252.116.166,10.10.10.10,443.0,98:5d:82:11:54:49,00:16:3e:0d:ec:f2,58,,,Attack
104.252.116.166,10.10.10.10,443.0,98:5d:82:11:54:49,00:16:3e:0d:ec:f2,58,,,Attack
104.253.122.66,10.10.10.10,80.0,98:5d:82:11:54:49,00:16:3e:0d:ec:f2,58,,,Attack
172.121.58.167,10.10.10.10,80.0,98:5d:82:11:54:49,00:16:3e:0d:ec:f2,58,,,Attack
172.99.233.20,10.10.10.10,,00:16:3e:0d:ec:f2,98:5d:82:11:54:49,183,53057.0,50013.0,Attack
192.101.218.208,10.10.10.10,80.0,98:5d:82:11:54:49,00:16:3e:0d:ec:f2,58,,,Attack
172.121.138.174,10.10.10.10,80.0,98:5d:82:11:54:49,00:16:3e:0d:ec:f2,58,,,Attack
45.38.93.124,10.10.10.10,80.0,98:5d:82:11:54:49,00:16:3e:0d:ec:f2,58,,,Attack
172.99.233.20,10.10.10.10,,00:16:3e:0d:ec:f2,98:5d:82:11:54:49,179,53057.0,50013.0,Attack
107.165.91.60,10.10.10.10,80.0,98:5d:82:11:54:49,00:16:3e:0d:ec:f2,54,,,Attack
142.111.143.12,10.10.10.10,80.0,98:5d:82:11:54:49,00:16:3e:0d:ec:f2,58,,,Attack
104.252.89.100,10.10.10.10,80.0,98:5d:82:11:54:49,00:16:3e:0d:ec:f2,58,,,Attack
104.252.89.100,10.10.10.10,80.0,98:5d:82:11:54:49,00:16:3e:0d:ec:f2,58,,,Attack
104.252.89.100,10.10.10.10,80.0,98:5d:82:11:54:49,00:16:3e:0d:ec:f2,58,,,Attack
107.165.173.100,10.10.10.10,80.0,98:5d:82:11:54:49,00:16:3e:0d:ec:f2,58,,,Attack
104.252.89.243,10.10.10.10,80.0,98:5d:82:11:54:49,00:16:3e:0d:ec:f2,58,,,Attack
104.252.89.243,10.10.10.10,80.0,98:5d:82:11:54:49,00:16:3e:0d:ec:f2,58,,,Attack
172.252.115.62,10.10.10.10,80.0,98:5d:82:11:54:49,00:16:3e:0d:ec:f2,58,,,Attack
142.252.108.143,10.10.10.10,80.0,98:5d:82:11:54:49,00:16:3e:0d:ec:f2,58,,,Attack
142.252.174.103,10.10.10.10,80.0,98:5d:82:11:54:49,00:16:3e:0d:ec:f2,58,,,Attack
104.252.116.36,10.10.10.10,443.0,98:5d:82:11:54:49,00:16:3e:0d:ec:f2,58,,,Attack
104.165.53.90,10.10.10.10,80.0,98:5d:82:11:54:49,00:16:3e:0d:ec:f2,58,,,Attack
107.186.181.181,10.10.10.10,80.0,98:5d:82:11:54:49,00:16:3e:0d:ec:f2,54,,,Attack
142.111.139.135,10.10.10.10,80.0,98:5d:82:11:54:49,00:16:3e:0d:ec:f2,58,,,Attack
104.252.137.185,10.10.10.10,80.0,98:5d:82:11:54:49,00:16:3e:0d:ec:f2,58,,,Attack
172.252.115.220,10.10.10.10,80.0,98:5d:82:11:54:49,00:16:3e:0d:ec:f2,58,,,Attack
172.252.94.34,10.10.10.10,80.0,98:5d:82:11:54:49,00:16:3e:0d:ec:f2,58,,,Attack
45.39.138.156,10.10.10.10,443.0,98:5d:82:11:54:49,00:16:3e:0d:ec:f2,58,,,Attack
23.230.19.177,10.10.10.10,80.0,98:5d:82:11:54:49,00:16:3e:0d:ec:f2,58,,,Attack
104.253.116.124,10.10.10.10,80.0,98:5d:82:11:54:49,00:16:3e:0d:ec:f2,58,,,Attack
142.252.109.108,10.10.10.10,80.0,98:5d:82:11:54:49,00:16:3e:0d:ec:f2,54,,,Attack
166.88.175.5,10.10.10.10,80.0,98:5d:82:11:54:49,00:16:3e:0d:ec:f2,58,,,Attack
142.252.218.26,10.10.10.10,80.0,98:5d:82:11:54:49,00:16:3e:0d:ec:f2,58,,,Attack
45.38.184.8,10.10.10.10,80.0,98:5d:82:11:54:49,00:16:3e:0d:ec:f2,58,,,Attack
45.38.184.197,10.10.10.10,80.0,98:5d:82:11:54:49,00:16:3e:0d:ec:f2,58,,,Attack
107.186.248.174,10.10.10.10,80.0,98:5d:82:11:54:49,00:16:3e:0d:ec:f2,58,,,Attack
142.111.87.234,10.10.10.10,80.0,98:5d:82:11:54:49,00:16:3e:0d:ec:f2,58,,,Attack
23.230.154.232,10.10.10.10,443.0,98:5d:82:11:54:49,00:16:3e:0d:ec:f2,58,,,Attack
45.39.70.23,10.10.10.10,80.0,98:5d:82:11:54:49,00:16:3e:0d:ec:f2,58,,,Attack
142.111.224.99,10.10.10.10,443.0,98:5d:82:11:54:49,00:16:3e:0d:ec:f2,54,,,Attack
45.39.70.96,10.10.10.10,80.0,98:5d:82:11:54:49,00:16:3e:0d:ec:f2,58,,,Attack
107.164.154.38,10.10.10.10,80.0,98:5d:82:11:54:49,00:16:3e:0d:ec:f2,58,,,Attack
45.39.131.50,10.10.10.10,80.0,98:5d:82:11:54:49,00:16:3e:0d:ec:f2,54,,,Attack
104.252.209.164,10.10.10.10,80.0,98:5d:82:11:54:49,00:16:3e:0d:ec:f2,58,,,Attack
23.230.110.223,10.10.10.10,80.0,98:5d:82:11:54:49,00:16:3e:0d:ec:f2,58,,,Attack
104.252.156.106,10.10.10.10,80.0,98:5d:82:11:54:49,00:16:3e:0d:ec:f2,58,,,Attack
107.186.51.215,10.10.10.10,443.0,98:5d:82:11:54:49,00:16:3e:0d:ec:f2,58,,,Attack
172.121.224.132,10.10.10.10,80.0,98:5d:82:11:54:49,00:16:3e:0d:ec:f2,58,,,Attack
45.38.1.239,10.10.10.10,80.0,98:5d:82:11:54:49,00:16:3e:0d:ec:f2,58,,,Attack
23.230.68.139,10.10.10.10,80.0,98:5d:82:11:54:49,00:16:3e:0d:ec:f2,58,,,Attack
142.111.154.194,10.10.10.10,443.0,98:5d:82:11:54:49,00:16:3e:0d:ec:f2,58,,,Attack
107.165.173.222,10.10.10.10,80.0,98:5d:82:11:54:49,00:16:3e:0d:ec:f2,58,,,Attack
45.38.76.200,10.10.10.10,80.0,98:5d:82:11:54:49,00:16:3e:0d:ec:f2,54,,,Attack
107.165.173.222,10.10.10.10,80.0,98:5d:82:11:54:49,00:16:3e:0d:ec:f2,58,,,Attack
172.121.252.155,10.10.10.10,80.0,98:5d:82:11:54:49,00:16:3e:0d:ec:f2,58,,,Attack
104.164.108.241,10.10.10.10,80.0,98:5d:82:11:54:49,00:16:3e:0d:ec:f2,58,,,Attack
45.38.160.186,10.10.10.10,80.0,98:5d:82:11:54:49,00:16:3e:0d:ec:f2,58,,,Attack
107.164.53.190,10.10.10.10,80.0,98:5d:82:11:54:49,00:16:3e:0d:ec:f2,58,,,Attack
107.186.197.128,10.10.10.10,,98:5d:82:11:54:49,00:16:3e:0d:ec:f2,86,,,Attack
172.120.224.188,10.10.10.10,80.0,98:5d:82:11:54:49,00:16:3e:0d:ec:f2,58,,,Attack
104.253.179.177,10.10.10.10,80.0,98:5d:82:11:54:49,00:16:3e:0d:ec:f2,58,,,Attack
107.165.86.195,10.10.10.10,80.0,98:5d:82:11:54:49,00:16:3e:0d:ec:f2,58,,,Attack
142.252.90.68,10.10.10.10,80.0,98:5d:82:11:54:49,00:16:3e:0d:ec:f2,58,,,Attack
107.187.34.229,10.10.10.10,80.0,98:5d:82:11:54:49,00:16:3e:0d:ec:f2,58,,,Attack
104.165.189.88,10.10.10.10,80.0,98:5d:82:11:54:49,00:16:3e:0d:ec:f2,54,,,Attack
107.187.34.108,10.10.10.10,80.0,98:5d:82:11:54:49,00:16:3e:0d:ec:f2,58,,,Attack
104.253.6.109,10.10.10.10,80.0,98:5d:82:11:54:49,00:16:3e:0d:ec:f2,58,,,Attack
23.230.147.226,10.10.10.10,80.0,98:5d:82:11:54:49,00:16:3e:0d:ec:f2,58,,,Attack
104.253.241.130,10.10.10.10,80.0,98:5d:82:11:54:49,00:16:3e:0d:ec:f2,58,,,Attack
