"No.","Time","Source","Destination","Protocol","Length","Info"
"3755","0.068431","45.39.217.155","10.10.10.10","TCP","58","80  >  22824 [SYN, ACK] Seq=0 Ack=1 Win=29200 Len=0 MSS=1400"
"3756","0.068436","107.164.105.131","10.10.10.10","TCP","58","80  >  53479 [SYN, ACK] Seq=0 Ack=1 Win=14600 Len=0 MSS=1400"
"3757","0.068448","45.39.217.202","10.10.10.10","TCP","58","80  >  27184 [SYN, ACK] Seq=0 Ack=1 Win=29200 Len=0 MSS=1400"
"3758","0.068459","136.0.224.35","10.10.10.10","TCP","58","80  >  39032 [SYN, ACK] Seq=0 Ack=1 Win=29200 Len=0 MSS=1400"
"3759","0.068462","107.165.235.65","10.10.10.10","TCP","58","80  >  65413 [SYN, ACK] Seq=0 Ack=1 Win=8192 Len=0 MSS=1400"
"3760","0.068521","136.0.231.214","10.10.10.10","TCP","58","80  >  30778 [SYN, ACK] Seq=0 Ack=1 Win=8192 Len=0 MSS=1400"
"3761","0.068536","172.252.143.2","10.10.10.10","TCP","58","80  >  14414 [SYN, ACK] Seq=0 Ack=1 Win=29200 Len=0 MSS=1400"
"3762","0.068584","104.143.149.4","10.10.10.10","TCP","58","80  >  35002 [SYN, ACK] Seq=0 Ack=1 Win=8192 Len=0 MSS=1400"
"3763","0.068587","104.252.58.42","10.10.10.10","TCP","58","443  >  34426 [SYN, ACK] Seq=0 Ack=1 Win=29200 Len=0 MSS=1400"
"3764","0.068590","172.252.107.183","10.10.10.10","TCP","58","80  >  44074 [SYN, ACK] Seq=0 Ack=1 Win=29200 Len=0 MSS=1400"
"3765","0.068593","209.73.156.245","10.10.10.10","ICMP","86","Destination unreachable (Host administratively prohibited)"
"3766","0.068596","107.186.36.127","10.10.10.10","TCP","58","80  >  55871 [SYN, ACK] Seq=0 Ack=1 Win=29200 Len=0 MSS=1400"
"3767","0.068599","104.252.76.102","10.10.10.10","TCP","58","80  >  57743 [SYN, ACK] Seq=0 Ack=1 Win=8192 Len=0 MSS=1400"
"3768","0.068624","104.165.7.205","10.10.10.10","TCP","58","80  >  16001 [SYN, ACK] Seq=0 Ack=1 Win=29200 Len=0 MSS=1400"
"3769","0.068628","166.88.55.141","10.10.10.10","TCP","58","80  >  12666 [SYN, ACK] Seq=0 Ack=1 Win=29200 Len=0 MSS=1400"
"3770","0.068631","142.111.178.177","10.10.10.10","TCP","58","80  >  62231 [SYN, ACK] Seq=0 Ack=1 Win=8192 Len=0 MSS=1400"
"3771","0.068634","166.88.55.206","10.10.10.10","TCP","58","80  >  49654 [SYN, ACK] Seq=0 Ack=1 Win=29200 Len=0 MSS=1400"
"3772","0.068637","104.165.123.213","10.10.10.10","TCP","54","443  >  8484 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"3773","0.068667","104.252.43.233","10.10.10.10","TCP","58","80  >  29884 [SYN, ACK] Seq=0 Ack=1 Win=14600 Len=0 MSS=1400"
"3774","0.068670","23.230.80.175","10.10.10.10","TCP","58","443  >  29236 [SYN, ACK] Seq=0 Ack=1 Win=29200 Len=0 MSS=1400"
"3775","0.068684","45.39.153.43","10.10.10.10","TCP","58","80  >  33258 [SYN, ACK] Seq=0 Ack=1 Win=8192 Len=0 MSS=1400"
"3776","0.068713","172.120.30.232","10.10.10.10","TCP","58","80  >  17924 [SYN, ACK] Seq=0 Ack=1 Win=8192 Len=0 MSS=1400"
"3777","0.068716","104.252.220.249","10.10.10.10","TCP","58","443  >  22945 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1400"
"3778","0.068719","45.38.172.233","10.10.10.10","TCP","58","80  >  54597 [SYN, ACK] Seq=0 Ack=1 Win=29200 Len=0 MSS=1400"
"3779","0.068722","104.252.98.107","10.10.10.10","TCP","54","80  >  26831 [RST] Seq=1 Win=0 Len=0"
"3780","0.068734","173.245.79.70","10.10.10.10","TCP","58","443  >  45557 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1400"
"3781","0.068752","172.120.116.19","10.10.10.10","TCP","54","80  >  38760 [RST] Seq=1 Win=0 Len=0"
"3782","0.068803","45.39.8.184","10.10.10.10","TCP","58","80  >  6152 [SYN, ACK] Seq=0 Ack=1 Win=8192 Len=0 MSS=1400"
"3783","0.068823","136.0.233.37","10.10.10.10","TCP","58","80  >  8250 [SYN, ACK] Seq=0 Ack=1 Win=29200 Len=0 MSS=1400"
"3784","0.068837","104.164.3.197","10.10.10.10","TCP","58","80  >  38462 [SYN, ACK] Seq=0 Ack=1 Win=8192 Len=0 MSS=1400"
"3785","0.068862","154.52.41.127","10.10.10.10","TCP","58","80  >  22255 [SYN, ACK] Seq=0 Ack=1 Win=29200 Len=0 MSS=1400"
"3786","0.068905","45.38.109.122","10.10.10.10","TCP","58","80  >  35881 [SYN, ACK] Seq=0 Ack=1 Win=8192 Len=0 MSS=1400"
"3787","0.068931","69.46.85.185","10.10.10.10","TCP","58","443  >  29820 [SYN, ACK] Seq=0 Ack=1 Win=29200 Len=0 MSS=1400"
"3788","0.068945","142.111.5.146","10.10.10.10","TCP","58","80  >  21631 [SYN, ACK] Seq=0 Ack=1 Win=29200 Len=0 MSS=1400"
"3789","0.068968","107.187.5.75","10.10.10.10","TCP","58","80  >  36206 [SYN, ACK] Seq=0 Ack=1 Win=29200 Len=0 MSS=1400"
"3790","0.068971","45.38.32.114","10.10.10.10","TCP","58","80  >  3207 [SYN, ACK] Seq=0 Ack=1 Win=29200 Len=0 MSS=1400"
"3791","0.068975","142.111.5.160","10.10.10.10","TCP","58","80  >  50819 [SYN, ACK] Seq=0 Ack=1 Win=29200 Len=0 MSS=1400"
"3792","0.068982","45.38.32.33","10.10.10.10","TCP","58","80  >  3707 [SYN, ACK] Seq=0 Ack=1 Win=29200 Len=0 MSS=1400"
"3793","0.069000","107.187.98.56","10.10.10.10","TCP","54","443  >  13134 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"3794","0.069003","23.230.5.148","10.10.10.10","TCP","58","80  >  2825 [SYN, ACK] Seq=0 Ack=1 Win=14600 Len=0 MSS=1400"
"3795","0.069005","209.141.38.168","10.10.10.10","TCP","58","443  >  56906 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1400"
"3796","0.069034","107.186.210.69","10.10.10.10","TCP","58","80  >  35614 [SYN, ACK] Seq=0 Ack=1 Win=29200 Len=0 MSS=1400"
"3797","0.069058","107.164.106.78","10.10.10.10","TCP","54","80  >  38281 [RST] Seq=1 Win=0 Len=0"
"3798","0.069061","107.187.128.105","10.10.10.10","TCP","58","80  >  27519 [SYN, ACK] Seq=0 Ack=1 Win=29200 Len=0 MSS=1400"
"3799","0.069126","23.27.215.227","10.10.10.10","ICMP","86","Destination unreachable (Host administratively prohibited)"
"3800","0.069229","104.252.171.104","10.10.10.10","TCP","58","80  >  13073 [SYN, ACK] Seq=0 Ack=1 Win=5840 Len=0 MSS=1400"
"3801","0.069236","107.164.248.55","10.10.10.10","TCP","58","80  >  4220 [SYN, ACK] Seq=0 Ack=1 Win=8192 Len=0 MSS=1400"
"3802","0.069282","104.252.198.158","10.10.10.10","TCP","54","80  >  51499 [RST] Seq=1 Win=0 Len=0"
"3803","0.069285","192.177.56.90","10.10.10.10","TCP","58","80  >  1075 [SYN, ACK] Seq=0 Ack=1 Win=29200 Len=0 MSS=1400"
"3804","0.069288","104.165.7.154","10.10.10.10","TCP","58","80  >  57673 [SYN, ACK] Seq=0 Ack=1 Win=29200 Len=0 MSS=1400"
